,theta_min,theta_max,t_min,t_max,velocity,Peak Stress (MPa),Strain Energy Density (MPa)
2019,1.2969,1.4025,1.80983,1.71872,0.310345,0.82798,0.20841
2020,1.0605,0.9003,1.86734,1.74885,0.310345,1.01278,0.27241
2021,1.0281,1.5452,1.36575,2.15695,0.310345,1.17372,0.22386
2022,1.5405,1.5421,2.46676,0.93499,0.310345,0.79804,0.21868
2023,1.3288,0.7886,2.09248,1.48577,0.310345,1.08192,0.24547
2024,1.4858,0.9051,1.15196,2.42242,0.310345,1.40993,0.22392
2025,0.9928,0.9451,1.95806,1.66093,0.310345,0.94002,0.23892
2026,0.851,0.8299,1.41797,2.15134,0.310345,1.2625,0.27159
2027,1.2346,1.0582,1.93762,1.67284,0.310345,0.89855,0.22441
2028,0.8889,1.3058,2.06312,1.5353,0.310345,1.12198,0.22226
2029,1.1721,1.3662,2.00347,1.56719,0.310345,0.91932,0.22293
2030,0.9581,1.5166,1.24244,2.29653,0.310345,1.28045,0.21159
2031,1.022,0.821,2.04105,1.55878,0.310345,0.97684,0.26003
2032,0.9988,1.4056,1.66299,1.9118,0.310345,0.99576,0.2268
2033,1.4553,0.7943,1.01562,2.5561,0.310345,1.47246,0.26352
2034,0.8079,1.0567,2.66853,0.93922,0.310345,1.15163,0.23662
2035,1.2576,1.4518,1.81147,1.71098,0.310345,0.83251,0.19805
2036,1.5378,1.1826,2.43111,1.07264,0.310345,0.93094,0.18358
2037,1.1059,0.9739,2.41926,1.21363,0.310345,0.84797,0.23775
2038,1.1879,0.9672,1.69388,1.92419,0.310345,1.09741,0.24315
2039,1.4448,1.0681,2.41062,1.14829,0.310345,1.21611,0.2032
2040,1.3291,0.9814,1.4294,2.17227,0.310345,1.25006,0.23295
2041,1.1256,1.1852,1.50911,2.10521,0.310345,1.17494,0.24569
2042,0.9554,1.3283,1.71402,1.88073,0.310345,0.97224,0.22766
2043,0.8727,1.5318,1.69843,1.83694,0.310345,0.91561,0.20963
2044,1.2297,1.3168,1.83126,1.73854,0.310345,0.86285,0.21797
2045,0.7907,0.9917,1.75034,1.83395,0.310345,1.03302,0.2672
2046,0.87,1.4751,2.14983,1.41334,0.310345,0.8361,0.23482
2047,0.8912,1.4658,2.04743,1.51675,0.310345,0.68151,0.21918
2048,1.1893,1.1022,1.63339,1.98189,0.310345,1.09827,0.23941
2049,1.3482,0.9294,1.92901,1.66053,0.310345,0.94857,0.22251
2050,1.2028,1.0161,1.20692,2.42053,0.310345,1.41369,0.28128
2051,1.3072,1.2798,1.51737,2.04534,0.310345,1.1072,0.21197
2052,0.9178,1.2324,1.85783,1.75164,0.310345,0.90847,0.22282
2053,1.1315,1.2597,1.96326,1.63735,0.310345,0.79712,0.20085
2054,1.0887,1.0873,1.79193,1.83274,0.310345,1.01258,0.23123
2055,0.8948,1.2535,0.83838,2.78853,0.310345,1.59523,0.25245
2056,1.3803,1.1247,2.24952,1.32195,0.310345,0.92902,0.22643
2057,0.9032,1.4153,1.99775,1.57871,0.310345,0.71115,0.21774
2058,1.1329,1.3936,1.27943,2.28718,0.310345,1.27465,0.19676
2059,1.4706,1.5154,2.18661,1.24829,0.310345,0.79687,0.18968
2060,1.3381,1.5275,1.65028,1.8185,0.310345,0.88919,0.18733
2061,1.3414,1.0107,1.9983,1.59267,0.310345,0.86334,0.21729
2062,1.4581,1.4718,1.15228,2.30559,0.310345,1.29105,0.19701
2063,1.0842,1.1206,1.30433,2.32477,0.310345,1.3285,0.23348
2064,1.1776,0.8768,1.61604,1.99438,0.310345,1.15991,0.25536
2065,0.8265,1.1148,2.02061,1.58161,0.310345,1.3334,0.26731
2066,0.83,1.1505,1.07002,2.55064,0.310345,1.47622,0.28554
2067,1.3453,1.2182,1.98463,1.5795,0.310345,1.04624,0.2212
2068,1.2483,0.98,2.27104,1.3427,0.310345,0.87362,0.24141
2069,1.2125,0.996,2.68138,0.95047,0.310345,0.95891,0.19933
2070,0.956,1.0784,1.8409,1.78191,0.310345,0.97654,0.24736
2071,0.8124,1.3037,1.064,2.53501,0.310345,1.44897,0.25097
2072,1.4639,1.1236,1.27628,2.2843,0.310345,1.3041,0.22794
2073,0.9759,1.0606,2.66288,0.9788,0.310345,0.99156,0.22576
2074,1.148,1.0455,1.14794,2.48613,0.310345,1.44534,0.21633
2075,0.9995,1.0543,2.39931,1.23469,0.310345,0.94232,0.24133
2076,1.2914,1.2974,2.14224,1.42133,0.310345,0.95721,0.22717
2077,1.1747,1.2869,1.21878,2.37422,0.310345,1.34546,0.19789
2078,1.499,1.534,1.41733,1.99182,0.310345,1.03434,0.18201
2079,1.1142,1.2737,0.79152,2.82777,0.310345,1.61439,0.20293
2080,0.9118,1.2034,2.48303,1.14067,0.310345,1.11588,0.23447
2081,1.0012,0.8083,1.29559,2.29756,0.310345,1.34522,0.26769
2082,0.9583,1.3692,1.74542,1.84024,0.310345,0.92066,0.20161
2083,0.8336,1.0637,2.51538,1.09579,0.310345,0.92699,0.24509
2084,1.0677,1.392,1.75691,1.81764,0.310345,0.90537,0.21443
2085,0.9404,1.4094,1.82367,1.7526,0.310345,0.85347,0.19364
2086,1.1601,0.9038,1.15765,2.46709,0.310345,1.43462,0.24312
2087,1.4833,1.1832,1.29824,2.24341,0.310345,1.26565,0.1977
2088,1.0793,0.9661,1.87091,1.75284,0.310345,0.99095,0.23385
2089,1.2928,1.2665,2.24432,1.32778,0.310345,0.90976,0.19704
2090,1.4805,1.2088,0.97208,2.58065,0.310345,1.48608,0.24236
2091,1.4923,1.1582,1.84567,1.68239,0.310345,0.87287,0.19866
2092,1.2791,1.5114,0.78351,2.71851,0.310345,1.5509,0.18623
2093,1.1614,1.2762,1.65706,1.93451,0.310345,1.02347,0.23284
2094,1.2041,1.5325,1.51348,1.98743,0.310345,1.03681,0.21131
2095,1.1266,1.3332,2.07883,1.50895,0.310345,1.21849,0.21953
2096,0.9418,1.2932,2.79596,0.83505,0.310345,1.14831,0.25081
2097,1.149,1.1368,2.11091,1.5072,0.310345,0.91521,0.23187
2098,1.4342,1.0036,1.95161,1.61421,0.310345,0.87652,0.21482
2099,0.9514,1.4722,1.85792,1.70145,0.310345,0.80552,0.21246
2100,1.0227,0.8709,1.28073,2.33273,0.310345,1.36269,0.26246
2101,0.8015,1.068,1.75353,1.84142,0.310345,1.01082,0.25985
2102,1.4585,1.1223,2.46375,1.08411,0.310345,0.97339,0.18961
2103,0.7859,1.1357,2.18284,1.40913,0.310345,0.93883,0.2583
2104,0.9767,1.3294,2.05453,1.5443,0.310345,0.71717,0.20782
2105,0.8602,1.4218,2.7264,0.87287,0.310345,1.12763,0.25189
2106,1.2928,1.1122,2.14948,1.44621,0.310345,0.93972,0.2357
2107,0.8983,1.1314,1.2306,2.39463,0.310345,1.37826,0.26691
2108,0.8272,1.4359,1.69686,1.86274,0.310345,0.94318,0.2225
2109,1.0588,0.9501,1.01527,2.62223,0.310345,1.51114,0.23322
2110,1.1169,1.4552,1.84538,1.70532,0.310345,0.8402,0.20443
2111,1.0335,1.0467,1.17229,2.4648,0.310345,1.43184,0.22986
2112,0.8224,0.9831,2.88376,0.73132,0.310345,1.31852,0.23931
2113,0.969,1.2238,1.06991,2.55536,0.310345,1.47143,0.2261
2114,1.2751,1.0186,2.0648,1.54073,0.310345,0.82936,0.24682
2115,1.4934,1.2943,1.54158,1.95896,0.310345,1.03666,0.19857
2116,0.9147,1.5431,2.2761,1.27617,0.310345,0.95235,0.22795
2117,1.06,0.8098,1.79494,1.80144,0.310345,1.07049,0.27214
2118,1.312,1.3531,2.12864,1.41482,0.310345,1.0405,0.20641
2119,1.3999,1.2475,2.03818,1.50297,0.310345,0.88544,0.21189
2120,1.1189,0.94,1.37262,2.25246,0.310345,1.30914,0.27854
2121,1.1856,1.3128,1.21509,2.36932,0.310345,1.34359,0.20739
2122,1.1341,1.4732,2.07386,1.47432,0.310345,0.95576,0.21286
2123,1.0134,1.0392,1.98913,1.63764,0.310345,0.87875,0.23464
2124,1.2586,0.928,2.60246,1.01748,0.310345,0.92415,0.20666
2125,1.3163,1.2905,1.79288,1.76262,0.310345,0.87858,0.18689
2126,0.8485,0.786,0.94808,2.61618,0.310345,1.5185,0.26095
2127,1.2716,1.1844,1.78645,1.80253,0.310345,1.00432,0.23222
2128,1.1408,1.1656,1.83647,1.77705,0.310345,0.9569,0.21968
2129,1.0258,0.8595,1.94027,1.6673,0.310345,0.97924,0.25284
2130,1.1044,1.378,2.62657,0.97449,0.310345,0.96915,0.25314
2131,1.1424,1.4098,2.53661,1.04667,0.310345,1.19589,0.20669
2132,1.3957,1.3518,0.89571,2.64047,0.310345,1.51191,0.24028
2133,0.8665,1.0907,1.68741,1.92419,0.310345,1.06751,0.24014
2134,1.2962,1.0371,1.75255,1.84825,0.310345,0.98642,0.22982
2135,0.9362,1.4734,2.321,1.25302,0.310345,0.93212,0.22878
2136,1.3715,1.1575,2.1257,1.44243,0.310345,0.91576,0.2263
2137,0.8862,1.2913,1.49155,2.10769,0.310345,1.05183,0.24198
2138,1.412,0.8665,1.91682,1.65329,0.310345,0.96005,0.23675
2139,1.1515,0.8367,1.33258,2.27478,0.310345,1.363,0.25206
2140,1.308,0.8556,1.32914,2.26889,0.310345,1.35002,0.24757
2141,0.9346,1.3843,1.54806,2.03291,0.310345,0.95584,0.21541
2142,0.8649,1.2429,1.21488,2.39611,0.310345,1.26412,0.2325
2143,0.9887,1.432,2.11719,1.45955,0.310345,0.6949,0.21405
2144,1.3316,0.9429,1.37153,2.23048,0.310345,1.29345,0.23359
2145,1.2291,1.351,2.10077,1.46421,0.310345,0.86801,0.22192
2146,1.3454,1.2546,2.68425,0.888,0.310345,0.84399,0.20414
2147,1.1282,1.0613,1.67039,1.95346,0.310345,1.05636,0.22877
2148,1.4316,1.4251,0.78807,2.71343,0.310345,1.46465,0.24337
2149,0.8658,1.2946,1.49195,2.10457,0.310345,1.03003,0.23854
2150,1.27,1.042,1.55615,2.05201,0.310345,1.13683,0.23616
2151,0.8854,1.156,1.85463,1.75781,0.310345,0.8509,0.26307
2152,1.0215,1.0737,1.01898,2.6234,0.310345,1.49966,0.23781
2153,1.2283,1.1161,1.8446,1.76214,0.310345,0.87426,0.21433
2154,1.3423,0.9122,1.30154,2.29877,0.310345,1.33273,0.24348
2155,1.1644,1.5615,1.6695,1.83014,0.310345,0.78412,0.20529
2156,1.1707,1.3622,1.78366,1.7852,0.310345,0.75484,0.2127
2157,1.0762,0.9992,0.79133,2.86095,0.310345,1.714,0.21824
2158,0.9726,1.2804,1.57146,2.03339,0.310345,0.98706,0.24829
2159,1.4057,1.1966,1.18571,2.38095,0.310345,1.27406,0.21232
2160,1.2059,1.5084,1.25486,2.25551,0.310345,1.08691,0.19154
2161,1.557,1.1646,1.32588,2.19294,0.310345,1.16137,0.21679
2162,1.4419,0.8564,1.57908,1.98654,0.310345,1.20932,0.24245
2163,1.3502,0.9094,2.77637,0.82926,0.310345,1.00079,0.19734
2164,1.3594,1.4353,1.71262,1.78567,0.310345,0.88358,0.20255
2165,1.2733,1.0194,1.7799,1.82581,0.310345,0.96922,0.23626
2166,0.9325,0.9968,1.85859,1.75841,0.310345,0.94089,0.26232
2167,1.5106,1.1759,2.53736,0.98153,0.310345,1.00876,0.1774
2168,1.4787,1.3617,0.75466,2.76119,0.310345,1.50598,0.21714
2169,1.0904,1.1631,1.97582,1.64348,0.310345,0.78388,0.22038
2170,1.335,1.0306,1.87273,1.71905,0.310345,0.89891,0.23349
2171,1.2016,0.9102,1.97168,1.64106,0.310345,0.9255,0.23535
2172,1.2635,0.8351,1.57341,2.02218,0.310345,1.22465,0.2529
2173,0.7863,0.879,1.99867,1.56029,0.310345,0.87921,0.27553
2174,1.5128,1.3594,1.98781,1.47978,0.310345,0.66589,0.19672
2175,1.0183,1.1271,2.17789,1.44961,0.310345,0.93299,0.24509
2176,1.5205,1.3759,1.81639,1.64307,0.310345,0.79121,0.23284
2177,1.5022,1.0866,1.9811,1.55315,0.310345,0.7259,0.20462
2178,1.5322,1.0277,2.49325,1.03637,0.310345,1.23538,0.22652
2179,0.803,0.9526,2.6425,0.95137,0.310345,1.07393,0.25716
2180,1.0911,1.2275,2.48676,1.13632,0.310345,0.95257,0.22934
2181,0.7954,1.5569,2.27675,1.25903,0.310345,1.05979,0.23204
2182,1.155,1.0011,1.26861,2.36112,0.310345,1.33832,0.23873
2183,1.22,1.3187,1.73489,1.83606,0.310345,0.81166,0.19313
2184,0.9655,1.1972,2.1967,1.42422,0.310345,0.74405,0.24651
2185,1.1845,0.9528,1.79487,1.82232,0.310345,1.03071,0.24608
2186,1.0441,1.3701,1.84317,1.74033,0.310345,0.82094,0.20762
2187,1.2495,1.4307,2.50139,1.0508,0.310345,0.86265,0.2131
2188,0.864,1.486,1.26622,2.28311,0.310345,1.12838,0.23326
2189,1.5497,1.2042,1.28833,2.22554,0.310345,1.17335,0.21749
2190,1.3247,1.4387,2.01256,1.49902,0.310345,0.97328,0.22305
2191,1.2672,0.9371,2.38721,1.22485,0.310345,0.88578,0.25571
2192,1.3863,1.099,1.36366,2.219,0.310345,1.23122,0.21109
2193,1.3529,0.8484,1.58401,2.00006,0.310345,1.21511,0.24212
2194,1.3202,1.5014,2.29285,1.20758,0.310345,0.95712,0.22114
2195,1.0716,0.9608,2.00605,1.61831,0.310345,0.87233,0.25443
2196,1.4889,1.3635,2.21088,1.26743,0.310345,1.02426,0.21506
2197,1.2002,1.0044,2.95019,0.69599,0.310345,0.89167,0.1823
2198,1.0047,0.8624,2.09244,1.51618,0.310345,0.86102,0.25261
2199,1.1414,1.1416,1.54497,2.07302,0.310345,1.09933,0.255
2200,1.5592,1.2149,2.24134,1.2445,0.310345,1.28498,0.21918
2201,1.1202,1.3317,1.46803,2.11667,0.310345,1.15068,0.21296
2202,1.0414,1.0127,1.63484,1.99196,0.310345,1.10911,0.2464
2203,0.8899,0.9434,1.525,2.08074,0.310345,1.20459,0.27102
2204,1.0253,1.5278,1.56281,1.96883,0.310345,0.89784,0.21095
2205,1.4631,1.1766,2.69368,0.8493,0.310345,0.82221,0.18196
2206,0.8247,1.4044,2.29794,1.27959,0.310345,0.86267,0.24769
2207,1.1033,0.9059,1.55327,2.06491,0.310345,1.22594,0.237
2208,1.2562,1.2435,2.10279,1.48052,0.310345,0.92924,0.25994
2209,1.0272,1.0764,1.72993,1.89647,0.310345,1.02893,0.23991
